Title,Date,Day,Start Time,End Time,Time Zone,Price (£),Availability,Event Status,Address,Details,Instructions
BTS - I need u (Part 3),2018-10-03,Wednesday,7pm,8pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
BTS - I need u (Part 4),2018-10-03,Wednesday,8pm,9pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
BTS - I need u (Part 4),2018-10-06,Saturday,6pm,7pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
BTS - I need u (Full song recap),2018-10-06,Saturday,7pm,8pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
"BTS - Blood, Sweat & Tears (Part 1)",2018-10-12,Friday,7:30pm,8:30pm,BST,7.50,N/A,Confirmed,N/A,Multigym Studio,N/A
"BTS - Blood, Sweat & Tears (Part 2)",2018-10-12,Friday,8:30pm,9:30pm,BST,7.50,N/A,Confirmed,N/A,Multigym studio,N/A
Pentagon - Shine (Part 1),2018-10-13,Saturday,6pm,7pm,BST,7.50,N/A,Confirmed,N/A,"One off, not full song.",N/A
Pentagon - Shine (Part 2),2018-10-13,Saturday,7pm,8pm,BST,7.50,N/A,Confirmed,N/A,"One off, not full song.",N/A
NCT U - The 7th Sense (Part 1),2018-10-14,Sunday,5pm,6pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
NCT U - The 7th Sense (Part 2),2018-10-14,Sunday,6pm,7pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
"BTS - Blood, Sweat & Tears (Part 2)",2018-10-17,Wednesday,7:30pm,8:30pm,BST,7.50,N/A,Confirmed,N/A,Multigym Studio,N/A
"BTS - Blood, Sweat & Tears (Part 3)",2018-10-17,Wednesday,8:30pm,9:30pm,BST,7.50,N/A,Confirmed,N/A,Multigym Studio,N/A
Chung Ha - LOVE U (Part 1),2018-10-19,Friday,7pm,8pm,BST,7.50,Only 3 spaces left,Confirmed,N/A,N/A,N/A
Chung Ha - LOVE U (Part 2),2018-10-19,Friday,8pm,9pm,BST,7.50,Only 3 spaces left,Confirmed,N/A,N/A,N/A
NCT U - The 7th Sense (Part 3),2018-10-20,Saturday,5pm,6pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
NCT U - The 7th Sense (Part 4),2018-10-20,Saturday,6pm,7pm,BST,7.50,N/A,Confirmed,N/A,N/A,N/A
"BTS - Blood, Sweat & Tears (Part 3)",2018-10-22,Monday,7:30pm,8:30pm,BST,7.50,N/A,Confirmed,N/A,Multigym Studio,N/A
"BTS - Blood, Sweat & Tears (Part 4)",2018-10-22,Monday,8:30pm,9:30pm,BST,7.50,N/A,Confirmed,N/A,Multigym Studio,N/A
Urban Choreography (Intermediate),2018-10-24,Wednesday,7pm,8:25pm,BST,9.00,N/A,Confirmed,N/A,Astaire,N/A
Blackpink - Playing With Fire (Part 1),2018-10-27,Saturday,2pm,4pm,BST,16.00,N/A,Confirmed,N/A,"Studio 1, The Cockpit Theatre",N/A
BTS - Airplane pt. 2 (One off),2018-10-31,Wednesday,7pm,9pm,GMT,16.00,Fully booked,Confirmed,N/A,"Studio 1, The Cockpit Theatre",N/A
Blackpink - Playing With Fire (Part 2),2018-11-03,Saturday,7pm,9pm,GMT,16.00,N/A,Confirmed,N/A,"Studio 1, The Cockpit Theatre",N/A
NCT U - Baby Don’t Stop (Part 1),2018-11-08,Thursday,7pm,9pm,GMT,16.00,N/A,Confirmed,N/A,"Studio 1, The Cockpit Theatre",N/A
Blackpink - Playing With Fire (Part 3),2018-11-10,Saturday,3pm,5pm,GMT,16.00,N/A,Confirmed,N/A,"Studio 1, The Cockpit Theatre",N/A
NCT U - The 7th Sense (Part 3 & 4),2018-11-11,Sunday,5pm,7pm,GMT,16.00,N/A,Confirmed,N/A,Marks rap section till ending.,N/A
EXO - The Eve,2018-11-14,Wednesday,7pm,9pm,GMT,16.00,N/A,Confirmed,N/A,"One off class until first chorus.
Studio 102",N/A
Urban Choreography (All level),2018-11-17,Saturday,1pm,3pm,GMT,12.00,N/A,Confirmed,N/A,"Suitable for all level.
Instructor : Hemansu",N/A
Weki Meki - Crush (Part 1),2018-11-21,Wednesday,7pm,9pm,GMT,16.00,N/A,Confirmed,N/A,Studio 102,N/A
GOT7 - Lullaby (Part 1),2018-11-24,Saturday,6pm,8pm,GMT,16.00,N/A,Confirmed,N/A,More classes to be added,N/A
Weki Meki - Crush (Part 2),2018-11-28,Wednesday,7pm,9pm,GMT,16.00,N/A,Confirmed,N/A,Studio 102,N/A
BTS “V” - Singularity,2018-12-05,Wednesday,7pm,9pm,GMT,16.00,Only 1 space left,Confirmed,N/A,"One off session + Filming.
Studio 1",N/A
Jennie - Solo (Part 1),2018-12-08,Saturday,6pm,8pm,GMT,16.00,Fully booked,Confirmed,N/A,Studio 1,N/A
EXO - Ooh La La La (Part 1),2018-12-12,Wednesday,7pm,9pm,GMT,16.00,N/A,Confirmed,N/A,Studio 1,N/A
Jennie - Solo (Part 2 + Recap + Filming),2018-12-15,Saturday,5pm,7pm,GMT,16.00,Only 1 space left,Confirmed,N/A,Studio 1,N/A
GOT7 - Lullaby,2018-12-17,Monday,7pm,9pm,GMT,16.00,N/A,Confirmed,N/A,"Studio 1
Chorus on wards + Class will be filmed",N/A
EXO - Ooh La La La (Part 2),2018-12-19,Wednesday,7pm,9pm,GMT,16.00,N/A,Confirmed,N/A,"Class will be filmed.
Studio 1",N/A
BTS - Fire (Pre Chorus + Chorus + Ending),2018-12-22,Saturday,5pm,7pm,GMT,16.00,Only 1 space left,Confirmed,N/A,"One off session.
Studio 1",N/A
"BTS ""V"" - Singularity",2018-12-23,Sunday,4pm,6pm,GMT,16.00,N/A,Confirmed,N/A,"Studio 1
Class will be filmed",N/A
Urban Choreography,2019-01-05,Saturday,6pm,8pm,GMT,12.00,N/A,Confirmed,N/A,Studio 1,N/A
BTS - Dimple,2019-01-09,Wednesday,7pm,9pm,GMT,16.00,N/A,Confirmed,N/A,Studio 102,N/A
EXO - Love Shot (Part 1),2019-01-12,Saturday,6pm,8pm,GMT,16.00,Fully booked,Confirmed,N/A,Studio 1,N/A
EXO - Love Shot (Part 2),2019-01-16,Wednesday,7pm,9pm,GMT,16.00,Only 3 spaces left,Confirmed,N/A,Studio102,N/A
Urban Choreography,2019-01-19,Saturday,6pm,8pm,GMT,12.00,N/A,Confirmed,N/A,Studio 1,N/A
BTS “Jimin” - Serendipity (Part 1),2019-01-23,Wednesday,7pm,9pm,GMT,16.00,Only 3 spaces left,Confirmed,N/A,Studio102,N/A
BTS “Jimin” - Serendipity (Part 1),2019-01-27,Sunday,5pm,7pm,GMT,16.00,Only 1 space left,Confirmed,N/A,Studio 1,N/A
BTS “Jimin” - Serendipity (Part 2),2019-01-30,Wednesday,7pm,9pm,GMT,16.00,Only 3 spaces left,Confirmed,N/A,Studio102,N/A
EXO - Ooh La La La (One Off),2019-01-31,Thursday,7pm,9pm,GMT,16.00,Only 1 space left,Confirmed,N/A,"Intro till the first chorus.
Studio 1 @The Cockpit Theatre.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
BTS “Jimin” - Serendipity (Part 2),2019-02-02,Saturday,6pm,8pm,GMT,16.00,N/A,Confirmed,N/A,Studio 1,N/A
Chung Ha - Gotta Go (Part 1 + Filming),2019-02-03,Sunday,6pm,8pm,GMT,16.00,Fully booked,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
Super Junior - Black Suit (One Off),2019-02-06,Wednesday,7pm,9pm,GMT,16.00,N/A,Confirmed,N/A,"Verse + Chorus
Studio 102 @Sylvia Young Theatre School.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
Chung Ha - Gotta Go (Part 2),2019-02-09,Saturday,6pm,8pm,GMT,16.00,Only 3 spaces left,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
Chung Ha - Gotta Go (Part 3 + Part 2 Recap + Filming),2019-02-13,Wednesday,7pm,9pm,GMT,16.00,Only 3 spaces left,Confirmed,N/A,"Studio 102 @Sylvia Young Theatre School.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
BTS - Fake Love (Part 1),2019-02-14,Thursday,7pm,9pm,GMT,16.00,Fully booked,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
IZ*ONE - RUMOUR (Produce 48)(One Off),2019-02-16,Saturday,6pm,8pm,GMT,16.00,Fully booked,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
BTS - Fake Love (Part 2),2019-02-20,Wednesday,7pm,9pm,GMT,16.00,Fully booked,Confirmed,N/A,"Studio 102 @Sylvia Young Theatre School.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
CLC - No (PART 1),2019-02-23,Saturday,6pm,8pm,GMT,16.00,Only 4 spaces left,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
Urban Choreography (Int/Adv),2019-02-24,Sunday,2pm,4pm,GMT,12.00,Fully booked,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
INVITE ONLY IN-HOUSE TRAINING,2019-02-24,Sunday,4:15pm,6pm,GMT,5.00,N/A,Confirmed,N/A,"Please email ukpopdance@outlook.com if interested.
No general enquiry as this programme is only for strict training.
Priority given to current students only. 
Minimum age 18+",N/A
"Koreography Class (RM,SUGA & J-HOPE - 'DDAENG') (All Level)",2019-02-27,Wednesday,7pm,9pm,GMT,12.00,Fully booked,Confirmed,N/A,"Studio 102 @SylviaYoungTheatreSchool.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
CLC - No (PART 2),2019-03-02,Saturday,6pm,8pm,GMT,16.00,N/A,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
Seventeen - Lilili Yabbay (One-Off),2019-03-03,Sunday,2pm,4pm,GMT,16.00,N/A,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
Urban Choreography (Beg/Int),2019-03-03,Sunday,4pm,6pm,GMT,12.00,Only 1 space left,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
Wanna One - Energetic (One-Off),2019-03-06,Wednesday,7pm,9pm,GMT,16.00,Fully booked,Confirmed,N/A,"Studio 102 @SylviaYoungTheatreSchool.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
ATEEZ - HALA HALA (PART 1),2019-03-09,Saturday,6pm,8pm,GMT,16.00,N/A,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Dance Practice Video: 
https://www.youtube.com/watch?v=wWhCCXmOl3g
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
ITZY - DALLA DALLA (PART 1),2019-03-13,Wednesday,7pm,9pm,GMT,16.00,Fully booked,Confirmed,N/A,"Studio 102 @SylviaYoungTheatreSchool.
Dance Practice Video:
https://www.youtube.com/watch?v=ay97L0DAu9A
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
ATEEZ - HALA HALA (PART 2),2019-03-16,Saturday,6pm,8pm,GMT,16.00,N/A,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Dance Practice Video: 
https://www.youtube.com/watch?v=wWhCCXmOl3g
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
"RM, SUGA & J-HOPE - 'DDAENG' (KOREOGRAPHY CLASS) (ALL LEVEL)",2019-03-17,Sunday,4pm,6pm,GMT,13.00,Only 4 spaces left,Confirmed,N/A,"Studio 3 @The Place (King's Cross) 
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it. 
Please contact us at ukpopdance@outlook.com for any questions.",N/A
ITZY - DALLA DALLA (PART 2),2019-03-20,Wednesday,7pm,9pm,GMT,16.00,Fully booked,Confirmed,N/A,"Studio 102 @SylviaYoungTheatreSchool.
Dance Practice Video:
https://www.youtube.com/watch?v=ay97L0DAu9A
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
SUNMI - 'NOIR' (KOREOGRAPHY CLASS) (ALL LEVEL) (CONCEPT VIDEO),2019-03-23,Saturday,6pm,8pm,GMT,13.00,N/A,Confirmed,N/A,"Studio 1 @The Cockpit (Marylebone)
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
(G)I-DLE - 'SENORITA' (ONE-OFF),2019-03-24,Sunday,3pm,5pm,GMT,16.00,Fully booked,Confirmed,N/A,"Studio 3 @The Place (King's Cross)
Dance Practice Video:
https://www.youtube.com/watch?v=xovFgJfsCZI
Please bring clean indoor dancing shoes/trainers. 
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
JIMIN - 'PROMISE' (KOREOGRAPHY CLASS) (ALL LEVEL),2019-03-27,Wednesday,7pm,9pm,GMT,13.00,Fully booked,Confirmed,N/A,"Studio 102 @Sylvia Young Theatre
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
TAEMIN - 'WANT' (ONE-OFF) (LIMITED SPACE),2019-03-30,Saturday,6pm,8pm,GMT,16.00,Fully booked,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Dance Practice Video:
https://www.youtube.com/watch?v=KvGzmJdo7Fs
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
JIMIN - 'PROMISE' (KOREOGRAPHY CLASS) (ALL LEVEL),2019-04-06,Saturday,6pm,8pm,BST,13.00,Only 4 spaces left,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
TXT - 'BLUE ORANGEADE' (PART 1),2019-04-07,Sunday,3pm,5pm,BST,16.00,Fully booked,Confirmed,N/A,"Studio 1 @The Place (King's Cross)
Dance Practice Video:
https://www.youtube.com/watch?v=mmIQ5Qg785M
Please bring clean indoor dancing shoes/trainers.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
MAMAMOO - 'GOGOBEBE' (고고베베),2019-04-10,Wednesday,7pm,9pm,BST,16.00,Fully booked,Confirmed,N/A,"Studio 202 @Sylvia Young Theatre
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
MOMOLAND - 'I'M SO HOT',2019-04-13,Saturday,6pm,8pm,BST,16.00,Only 1 space left,Confirmed,N/A,"Studio 1 @The Cockpit Theatre
Dance Practice Video:
https://www.youtube.com/watch?v=dU6vBThbVbU
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
TXT - 'CROWN' (ONE-OFF),2019-04-14,Sunday,3pm,5pm,BST,16.00,N/A,Confirmed,N/A,"Studio 1 @The Place (King's Cross)
Dance Practice Video:
https://www.youtube.com/watch?v=67HBlusTk1A
Please bring clean indoor dancing shoes/trainers.
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
BLACKPINK - 'KILL THIS LOVE' (PART 1),2019-04-17,Wednesday,7pm,9pm,BST,16.00,Fully booked,Confirmed,N/A,"Studio 202 @Sylvia Young Theatre
Dance Video:
https://www.youtube.com/watch?v=ZhP6d_WtboE
0:00 - 1:13
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
EVERGLOW - 'BON BON CHOCOLAT' (PART 1),2019-04-20,Saturday,6pm,8pm,BST,16.00,Fully booked,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Dance Practice Video:
https://www.youtube.com/watch?v=15jtCi0q_sw
00:00 until 1:16
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
BLACKPINK - 'KILL THIS LOVE' (PART 2),2019-04-24,Wednesday,7pm,9pm,BST,16.00,Fully booked,Confirmed,N/A,"Studio 202 @Sylvia Young Theatre
Dance Video:
https://www.youtube.com/watch?v=ZhP6d_WtboE
1:13 - 2:15
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
EVERGLOW - 'BON BON CHOCOLAT' (PART 2) (DANCE BREAK),2019-04-27,Saturday,6pm,8pm,BST,16.00,Only 1 space left,Confirmed,N/A,"Studio 1 @The Cockpit Theatre.
Dance Practice Video:
https://www.youtube.com/watch?v=15jtCi0q_sw
2:36 until 3:47
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
BLACKPINK - 'KILL THIS LOVE' (PART 3),2019-05-01,Wednesday,7pm,9pm,BST,16.00,Fully booked,Confirmed,N/A,"Studio 202 @Sylvia Young Theatre
Dance Video:
https://www.youtube.com/watch?v=ZhP6d_WtboE
2:12 - 3:14
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
BLACKPINK - 'KILL THIS LOVE' (PART 1.5),2019-05-04,Saturday,6pm,8pm,BST,16.00,Fully booked,Confirmed,N/A,"Studio 1 @The Cockpit Theatre
Dance Video:
https://www.youtube.com/watch?v=ZhP6d_WtboE
Intro + Chorus
Cancellation Policy - 48 hours prior the start of your booked class (No refunds will be given after that period has passed).
Ticket Transfer - 24 hours prior the start of your booked class. 
NO REFUNDS WILL BE GIVEN ONCE THE CLASS HAS BEEN TRANSFERRED, HOWEVER WE WILL PROVIDE YOU WITH CLASS CREDIT/ CODE TO BE USED IN THE FUTURE FOR ANY CLASSES.
We reserve the right to correct any errors and to change information at any time without prior notice. Any major changes will be directly emailed to anyone who might be affected by it.
Please contact us at ukpopdance@outlook.com for any questions.",N/A
